disaster_id,disaster_type,disaster_subtype,country,region,location,lat,lng
825,Flood,Flash flood,Burundi,Africa,"Gatumba area (Mutimbuzi district, Bujumbura Rural province), Imbo area (Gihanga district, Bubanza province), Kinyinya Hill area (Kinyinya district, Ruyigi province), Mushasha area (Gitega district, Gitega province), Muyange area (Burambi district, Bururi province)",40.18283,-82.96221
826,Flood,Flash flood,Burundi,Africa,"Buhayira village (Murwi district, Cibitoke province)",-2.944127,29.307187
827,Flood,Riverine flood,Burundi,Africa,"Cibitoke, Ruyigi, Bubanza, Muramvya, Karuzi, Kayanza provinces",-3.685716,30.353843
828,Flood,Riverine flood,Burundi,Africa,"Gatumba village (Mutimbuzi district, Bujumbura province)",-3.287654,29.324133
829,Flood,Flash flood,Burundi,Africa,"Kinyinya, Kijaga villages (Mutumbuzi district, Bujumbura Rural province), Kamenge, Kinama, Buterere, Ngagara, Kanyosha districts (Bujumbura Mairie province)",-3.345536,29.386312
830,Flood,Flash flood,Burundi,Africa,"Rugombo, Mpinga-Kayove, Bujumbura Mairie, Bujumbura Rural, Bururi, Ruyigi provinces",-3.363812,29.367503
831,Flood,Flood (General),Burundi,Africa,"Gaharawe, Mushasha I, Mushasha II, Muyange I, Muyange II, Kinyinya I, Kinyinya II, Warubondo, Vugizo (Gatumba)",-3.657459,30.343021
832,Flood,Flood (General),Burundi,Africa,"Bugarama, Kanyenkoko, Muhuta, Nyanza-Lac, Gatumba, Rukaramu, Kibenga, Gisyo, Kabondo, Bujumbura Rural, Rumonge, Bujumbura Mairie and Makamba",-3.392677,29.355936
833,Flood,Riverine flood,Burundi,Africa,"Bujumbura Mairie, Bujumbura Rural provinces",-3.344076,29.483924
834,Flood,Flood (General),Burundi,Africa,"Buringa area (Gihanga district, Bubanza province)",-3.272035,29.317896
835,Flood,Flash flood,Burundi,Africa,Rugazi district (Bubanza province),-3.238139,29.474707
836,Flood,Riverine flood,Burundi,Africa,"Kayogoro, Kibago districts (Makamba province)",-4.287876,29.839896
837,Flood,Riverine flood,Burundi,Africa,"Bujumbura Rural, Bujumbura Mairie, Kayanza, Bubanza, Cibitoke, Karuzi, Muramvya, Ruyigi, Cankuzo, Gitega, Kirundo, Muyinga, Mwaro, Ngozi provinces",-3.342259,29.376907
838,Flood,Flood (General),Burundi,Africa,"Bujumbura Mairie, Bujumbura Rural, Cibitoke, Bururi provinces",-3.363812,29.367503
839,Flood,Riverine flood,Burundi,Africa,Muhuta district (Bujumbura Rural province),-3.344076,29.483924
840,Drought,Drought,Burundi,Africa,"Kirundo, Bugabira, Busoni districts (Kirundo province)",-2.526197,30.217075
841,Flood,Riverine flood,Burundi,Africa,"Cibitoke, Bujumbura Rural provinces",-3.342259,29.376907
842,Drought,Drought,Burundi,Africa,"Kayanza, Ngozi provinces (North region), Cankuzo, Kirundo, Muyinga provinces (North-Eastern region), Bururi, Makamba, Rutana provinces (Southern region)",-2.845326,30.339388
843,Flood,Flood (General),Burundi,Africa,"Bujumbura Mairie, Bujumbura Rural, Makamba provinces.",-3.363812,29.367503
844,Drought,Drought,Burundi,Africa,"Kirundo, Ngozi, Muyinga, Cankuzo, Karuzi, Ruyigi provinces",-3.473347,30.250128
845,Flood,Flood (General),Burundi,Africa,Muramvya province,-3.266325,29.616729
846,Flood,Riverine flood,Burundi,Africa,"Muheka village (Songa district, Bururi province)",-3.859698,29.720002
847,Flood,Flash flood,Burundi,Africa,"Bujumbura Rural, Bujumbura Mairie, Bubanza provinces",-3.365051,29.352243
848,Epidemic,Viral disease,Cabo Verde,Africa,"Brava, Fogo, Maio, and Santiago Islands",15.244651,-23.165824
849,Drought,Drought,Cabo Verde,Africa,,-21.473976,-46.395596
850,Flood,Flood (General),Cabo Verde,Africa,Praia,14.916281,-23.509509
851,Epidemic,Viral disease,Cabo Verde,Africa,"Boa Vista, Brava, Praia, Santa Catarina do Fogo, São Vicente",14.900078,-24.323385
852,Flood,Flash flood,Cabo Verde,Africa,São Vicente and Santo Antão Islands,16.849658,-24.97233
853,Flood,Riverine flood,Cabo Verde,Africa,"Santo Antao, Sao Nicolau, Sao Vicente provinces",16.849658,-24.97233
854,Drought,Drought,Cabo Verde,Africa,"Ribeira Grande de Santiago, Santa Cruz, Sao Domingos (Island of Santiago ); and Porto Novo (Santo Antao island)",14.915852,-23.604842
855,Drought,Drought,Cabo Verde,Africa,"Santiago, Santo Antao Provinces",14.918,-23.509
856,Flood,Flash flood,Cambodia,Asia,Mondulkiri and Ratanakiri provinces,13.741475,106.987366
857,Epidemic,Viral disease,Cambodia,Asia,,12.457633,104.923981
858,Epidemic,Viral disease,Cambodia,Asia,"Kandal, Kampong Cham, Siem Riep, Takeo, Phnom Penh, Kampong Speu, Prey Veng",10.99058,105.54796
859,Flood,Flood (General),Cambodia,Asia,Poipet and Malai districts (Banteay Meanchey Province),13.564741,102.36298
860,Flood,Flood (General),Cambodia,Asia,"Daun Kok and Anlong Svay villages, Sangkat Boeung Thom, Khan Kampoul, Phnom Penh",11.568271,104.922443
861,Flood,Riverine flood,Cambodia,Asia,"Kampong Thom, Ratanak Kiri, Preah Vihear provinces",13.353343,105.20763
862,Drought,Drought,Cambodia,Asia,"Kampong Cham, Kampong Chhnang, Kampong Speu, Kampong Thom, Kampot, Kandal, Kep, Koh Kong, Kratie, Phnom Penh, Preah Sihanouk, Prey Veng, Pursat, Svay Rieng, Takeo provinces",-4.481577,138.93526
863,Flood,Riverine flood,Cambodia,Asia,"Kratie, Kampong Cham, Kandal, Prey Veng, Siem Reap provinces",10.99058,105.54796
864,Flood,Riverine flood,Cambodia,Asia,"Kampong Seila district (Koh Kong province), Phnom Penh, Kampong Speu, Kampot, Ratanak Kiri, Mondul Kiri provinces",11.61101,102.981859
865,Flood,Riverine flood,Cambodia,Asia,"Banteay Meanchey, Battambang, Otdar Meanchey, Pailin, Preah Vihear, Pursat provinces",13.5884,102.970027
866,Flood,Flash flood,Cambodia,Asia,"Kampong Cham, Kampong Chhnang, Kampong Speu, Kampong Thom, Kampot, Kandal, Kratie, Phnom Penh, Preah Vihear, Prey Veng, Stung Treng, Takeo provinces",-4.481577,138.93526
867,Flood,Flood (General),Cambodia,Asia,"Siem Pang District, Steung Treng Town, Siem Bok,Sesan, Thalaborivat; Kampong Speu, Battambang, Koh Kong, Phreah Sihanouk , Kampot provinces",14.113243,106.38674
868,Flood,Flood (General),Cambodia,Asia,"Stung Treng, Kratie, Kampong Cham and Tbong Khmum",12.866939,105.944565
869,Flood,Flood (General),Cambodia,Asia,"Meanchey, Oddar Meanchey Province",14.175806,103.509233
870,Flood,Riverine flood,Cambodia,Asia,"Stung Treng, Kratie, Koh Kong, Kampong Cham, Pursat, Kampong Thom, Takeo, Siem Reap, Otdar Meanchey, Kampot, Svay Rieng, Kandal, Phnom Penh, Prey Veng, Kampong Chhnang, Ratanak Kiri, Preah Vihear, Battambang, Banteay Meanchey, Kampong Speu provinces",-4.481577,138.93526
