"year","countrycode","boys_reached","boys_targeted","girls_reached","girls_targeted","men_reached","men_targeted","women_reached","women_targeted","total_reached","total_targeted"
"2021","PAK","59887","60126","65196","61821","121560","122546","138107","117605","384750","362098"
"2021","SOM","527739","458886","607992","524257","420277","455927","813181","739111","2369189","2178181"
"2021","SSD","3672823","3406790","3666535","3381504","3290441","3142493","3863475","3598221","14493274","13529008"
"2021","SDN","1372056","1827523","1565250","1934654","1488577","2001883","1791117","2189030","6217000","7953090"
"2021","SYR","2136841","2463211","2221859","2467760","996725","1145779","1456687","1510164","6812112","7586914"
"2021","UKR","56930","86625","59095","97557","227036","342157","326503","420292","669564","946631"
"2021","VEN","45635","38871","53509","48004","39375","27213","81847","59740","220366","173828"
"2021","YEM","2597068","2854812","2708668","2692657","1944739","4236129","2436757","3538356","9687232","13321954"
"2020","AFG","1611868","1279892","1553967","1267057","2643013","1476229","2537898","1509723","8346746","5532901"
"2020","CAR","594006","537058","640279","564940","716117","689661","909531","791977","2859933","2583636"
"2020","DRC","1490179","1446405","1720293","1555661","1640790","1135640","2247830","1405158","7099092","5542864"
"2020","ETH","1652050","1515303","1843014","1658702","1855138","1664488","2999035","2410871","8349237","7249364"
"2020","IRQ","680896","633942","662086","620471","2078011","221774","2255849","478143","5676842","1954330"
"2020","JOR","147239","188826","178259","205463","112021","288407","368722","431663","806241","1114359"
"2020","LBN","39969","38387","38633","37985","71732","53143","98363","65910","248697","195425"
"2020","MMR","228247","252961","254339","303873","376312","357562","500331","482274","1359229","1396670"
"2020","NGA","1066007","764634","1306647","875999","843998","806923","1295057","1055960","4511709","3503516"
"2020","PSE","2369604","1985355","2295039","1929085","3719403","4176345","3639809","4091512","12023855","12182297"
"2020","PAK","778796","1193024","734707","1138550","258757","528753","254277","506686","2026537","3367013"
"2020","SOM","357705","327686","411849","387572","556333","304168","906374","455944","2232261","1475370"
"2020","SSD","1051133","894747","1177621","1021741","908225","855903","1478034","1262454","4615013","4034845"
"2020","SDN","5807446","6108057","5947388","6278848","8009106","8298116","8407514","8649553","28171454","29334574"
"2020","SYR","2577302","2538236","2505252","2605975","3225242","3264056","4088468","3989928","12396264","12398195"
"2020","UKR","25962","21700","28363","25596","368205","239850","471271","344582","893801","631728"
"2020","YEM","2159834","897293","2171347","956138","3621472","1242741","2527669","1436491","10480322","4532663"
"2019","AFG","896385","827595","866511","828346","639353","622797","664818","648303","3067067","2927041"
"2019","CAR","691653","619689","744487","673436","768202","766317","904152","878982","3108494","2938424"
"2019","DRC","1916503","1804210","2066114","1935266","760600","705735","944493","867581","5687710","5312792"
"2019","ETH","2632949","2064224","2676431","2078841","2556711","2300310","3809300","3493240","11675391","9936615"
"2019","IRQ","853525","830604","862829","838195","1215984","882408","1446154","1036178","4378492","3587385"
"2019","JOR","19220","16560","18334","16337","15159","12153","21600","19298","74313","64348"
"2019","LBN","145903","247582","134295","247394","49373","30864","63808","37238","393379","563078"
"2019","MMR","153842","133485","159411","145183","176712","176078","243320","217796","733285","672542"
"2019","NGA","770281","726901","961673","915264","640464","571618","895605","788985","3268023","3002768"
"2019","PSE","266499","222733","197281","171157","464145","394499","545022","300436","1472947","1088825"
"2019","PAK","354768","337705","333203","308241","295905","263018","481969","429383","1465845","1338347"
"2019","SOM","533591","457914","563775","473139","442601","444477","746457","631614","2286424","2007144"
"2019","SSD","1752124","1668279","1902861","1802242","1768100","1721650","2964616","2534700","8387701","7726871"
"2019","SDN","1969354","1876040","2045352","1983163","2401964","2303487","2715755","2515681","9132425","8678371"
"2019","SYR","1880772","1362227","1820338","1366665","1083446","1103539","1639946","1692235","6424502","5524666"
"2019","UKR","5648","5046","5713","4394","5311","5089","13092","9856","29764","24385"
"2019","YEM","2991748","2567044","3137189","2668243","2738979","2577838","3775087","3196636","12643003","11009761"
"2018","AFG","1053598","933864","1026129","913102","888956","840731","1223272","976941","4191955","3664638"
"2018","CAR","596311","626356","612372","650248","517844","510240","568903","578625","2295430","2365469"
"2018","DRC","1077953","704633","1179549","830297","890120","570788","1130458","752019","4278080","2857737"
"2018","ETH","2953267","2617674","2951660","2583952","2502582","2510310","3347043","3093236","11754552","10805172"
"2018","IRQ","3407960","3548256","3474156","3481993","1955259","2301634","2042527","3370999","10879902","12702882"
"2018","JOR","70321","41858","76735","41435","46049","28501","66269","43345","259374","155139"
"2018","LBN","25935","19683","26149","20919","29994","28297","58340","46744","140418","115643"
"2018","MMR","185711","176916","188571","179690","219392","183669","290622","229672","884296","769947"
"2018","NGA","2549599","2360064","2694259","2444016","2061217","1909534","2667626","2424227","9972701","9137841"
"2018","PSE","836720","793462","810115","771478","984007","908052","817446","755745","3448288","3228737"
"2018","PAK","91243","72047","91259","72341","112879","68927","139375","86059","434756","299374"
"2018","SOM","613184","581793","665927","612569","568539","528665","925969","842799","2773619","2565826"
