"countrycode","year","cluster","requirements","funding","percentfunded"
"AFG","2016","Food security and agriculture","61056037","15431008","25"
"AFG","2016","Health","39782321","23451996","59"
"AFG","2016","Multipurpose cash/ IDPs/ multisector","21900858","441609","2"
"AFG","2016","Nutrition","68746962","67995723","99"
"AFG","2016","Protection","49659656","11267479","23"
"AFG","2016","WASH","23141902","5488040","24"
"AFG","2016","Food Security and Agriculture","30500000","7766779","25"
"AFG","2016","Protection","10000000","5000000","50"
"AFG","2016","Refugees and Returnees","73200000","47608789","65"
"AFG","2015","COORDINATION AND SUPPORT SERVICES","11500000","12729875","111"
"AFG","2015","EMERGENCY SHELTER AND NFIs","39917000","5470535","14"
"AFG","2015","FOOD SECURITY AND AGRICULTURE","92114950","44885889","49"
"AFG","2015","HEALTH","38834700","22686163","58"
"AFG","2015","LOGISTICS/ UNHAS Flights","16800000","13164372","78"
"AFG","2015","MULTI-SECTOR","88945605","18350703","21"
"AFG","2015","NUTRITION","63262622","41622537","66"
"AFG","2015","PROTECTION","39959655","9605905","24"
"AFG","2015","WATER,SANITATION AND HYGIENE","25331600","16827935","66"
"AFG","2014","COORDINATION AND SUPPORT SERVICES","11679732","15853948","136"
"AFG","2014","EMERGENCY SHELTER AND NFIs","28744000","19520480","68"
"AFG","2014","FOOD SECURITY AND AGRICULTURE","148955000","62399918","42"
"AFG","2014","HEALTH","43600000","18287484","42"
"AFG","2014","LOGISTICS/ UNHAS Flights","20238873","17400755","86"
"AFG","2014","MULTI-SECTOR","58090000","48396611","83"
"AFG","2014","NUTRITION","47900000","46691634","97"
"AFG","2014","PROTECTION","30722290","24304980","79"
"AFG","2014","WATER,SANITATION AND HYGIENE","16500000","10542083","64"
"AFG","2013","COORDINATION AND SUPPORT SERVICES","30362477","21939152","72"
"AFG","2013","EDUCATION","8511000","2477111","29"
"AFG","2013","EMERGENCY SHELTER AND NFIs","20021000","32197337","161"
"AFG","2013","FOOD SECURITY AND AGRICULTURE","103428067","60854418","59"
"AFG","2013","HEALTH","16913808","14299770","85"
"AFG","2013","MULTI-SECTOR","113878660","39021965","34"
"AFG","2013","NUTRITION","43473613","71547920","165"
"AFG","2013","PROTECTION","111839755","60929067","54"
"AFG","2013","WATER,SANITATION AND HYGIENE","26000000","24231415","93"
"AFG","2012","COORDINATION","15194988","6143484","40"
"AFG","2012","EDUCATION","20867803","6173884","30"
"AFG","2012","EMERGENCY SHELTER","28280274","10801023","38"
"AFG","2012","FOOD SECURITY AND AGRICULTURE","114714978","63201888","55"
"AFG","2012","HEALTH","32857092","11446222","35"
"AFG","2012","LOGISTICS","21970768","16001069","73"
"AFG","2012","MULTI-SECTOR","122248551","50711601","41"
"AFG","2012","NUTRITION","49740332","25645009","52"
"AFG","2012","PROTECTION","16050444","12601794","79"
"AFG","2012","WATER,SANITATION AND HYGIENE","26426092","15154074","57"
