"countrycode","year","cbpf_funding","cbpf_target","hrp_funding","hrp_requirements"
"SYR",2020,210371792.15,258989855,2119864728,3293416196
"SYR",2021,207423858.37,335702798,2238018652,3817532832
"SYR",2022,162476430.54,294803544,1965356960,4224416702
"SYR",2023,230728682.93,322985548,2153236988,4444280228
"SYR",2024,72359344.74000001,219360097.2,1462400648,8148317420
"SYR",2025,72359344.74000001,219360097.2,1462400648,8148317420
"TCD",2024,10958773.05,97608472.65,650723151,1124572823
"TCD",2025,10958773.05,97608472.65,650723151,1124572823
"UKR",2018,0,28036368.3,70773032,186909122
"UKR",2019,7050715.35,10549194.9,70773032,186909122
"UKR",2020,9457305.42,13049373.6,86995824,163640038
"UKR",2021,12165414.34,18323054,122153695,204653234
"UKR",2022,326995744.92,14076786,106017580,167982922
"UKR",2023,181936262.06,258968110.5,1726454070,4292463880
"UKR",2024,137009724.41,368083774.5,2453891830,3107702931
"UKR",2025,137009724.41,368083774.5,2453891830,3107702931
"VEN",2020,5442106.82,11611615,77410768,222724387
"VEN",2021,10242730.13,27227807,181518715,762509363
"VEN",2022,12009708.53,40651626,274556856,708098081
"VEN",2023,14661101.04,40124030.85,267493539,794987748
"VEN",2024,9287991.46,26322446.4,175482976,617034811
"VEN",2025,9287991.46,26322446.4,175482976,617034811
"YEM",2018,208725684.11,466210170,2511018682,3108067800
"YEM",2019,168620759.85,376008570.3,2511018682,3108067800
"YEM",2020,97992413.73,545470475.4,3636469836,4192680354
"YEM",2021,96002690.45,299976443,1999842954,3382681703
"YEM",2022,100728656.11,355319969,2426693007,3853456397
"YEM",2023,76067963.69,342264301.2,2281762008,4271938417
"YEM",2024,39940092.56,229993970.25,1533293135,2705762394
"YEM",2025,39940092.56,229993970.25,1533293135,2705762394
